(1667827176.727914) can0 1E2#638C0B48B3
(1667827176.729120) can0 0E2#4E524E524CFAFCFA
(1667827176.772214) can0 162#570E6349B3
(1667827176.816393) can0 1E2#7F8C0B48B4
(1667827176.817581) can0 0E2#4E524E52BAF9FDFA
(1667827176.860619) can0 162#750E6349B4
(1667827176.904813) can0 1E2#978C0B48B5
(1667827176.905998) can0 0E2#4E524E524CFAFCFA
(1667827176.948978) can0 162#8E0E6349B5
(1667827176.993226) can0 1E2#918C0B48B6
(1667827176.994410) can0 0E2#4E524E52FEFADBFB
(1667827177.037413) can0 162#750E6349B6
(1667827177.081621) can0 1E2#728C0B48B7
(1667827177.082805) can0 0E2#39524E52BAF9FDFA
(1667827177.125850) can0 162#8E0E6349B7
(1667827177.170015) can0 1E2#6B8C0B48B8
(1667827177.171196) can0 0E2#4E524E52B9F9FCFA
(1667827177.214243) can0 162#800E6349B8
(1667827177.258436) can0 1E2#6B8C0B48B9
(1667827177.259618) can0 0E2#4E523952BAF94AFA
(1667827177.260678) can0 2E2#5D4DF44D88456151
(1667827177.303164) can0 162#8E0E6349B9
(1667827177.347352) can0 1E2#848C0B48BA
(1667827177.348554) can0 0E2#4E524E524CFAFCFA
(1667827177.391579) can0 162#8E0E6349BA
(1667827177.435764) can0 1E2#7D8C0B48BB
(1667827177.436949) can0 0E2#63524E52BAF9FEFA
(1667827177.479994) can0 162#A00E6349BB
(1667827177.524200) can0 1E2#878C0B48BC
(1667827177.525347) can0 0E2#4E524E524CFADBFB
(1667827177.568388) can0 162#8E0E6349BC
(1667827177.612592) can0 1E2#918C0B48BD
(1667827177.613778) can0 0E2#4E524E524CFADCFB
(1667827177.656786) can0 162#8E0E6349BD
(1667827177.700992) can0 1E2#6B8C0B48BE
(1667827177.702176) can0 0E2#4E524E52BAF9FDFA
(1667827177.745198) can0 162#B80E6349BE
(1667827177.789421) can0 1E2#848C0B48BF
(1667827177.790595) can0 0E2#4E523952BAF94AFA
(1667827177.833617) can0 162#CA0E6349BF
(1667827177.877827) can0 1E2#728C0B48C0
(1667827177.879011) can0 0E2#4E52395240F9FDFA
(1667827177.921985) can0 162#F40E6349C0
(1667827177.966218) can0 1E2#848C0B48C1
(1667827177.967400) can0 0E2#4E523952BAF94BFA
(1667827178.010469) can0 162#020F6349C1
(1667827178.054639) can0 1E2#7F8C0B48C2
(1667827178.055821) can0 0E2#39524E524CFAFDFA
(1667827178.098821) can0 162#0D0F6349C2
(1667827178.143028) can0 1E2#878C0B48C3
(1667827178.144192) can0 0E2#4E524E52BAF9FDFA
(1667827178.145254) can0 2E2#5D4DF44D89456151
(1667827178.187196) can0 162#120F6349C3
(1667827178.231402) can0 1E2#7D8C0B48C4
(1667827178.232586) can0 0E2#4E524E524CFAFCFA
(1667827178.275610) can0 162#2D0F6349C4
(1667827178.319819) can0 1E2#848C0B48C5
(1667827178.320982) can0 0E2#4E524E52B9F9FCFA
(1667827178.364024) can0 162#380F6349C5
(1667827178.408241) can0 1E2#7D8C0B48C6
(1667827178.409420) can0 0E2#4E524E524CFADCFB
(1667827178.452442) can0 162#380F6349C6
(1667827178.496650) can0 1E2#918C0B48C7
(1667827178.497833) can0 0E2#4E524E5240F94AFA
(1667827178.540861) can0 162#0D0F6349C7
(1667827178.585033) can0 1E2#AA8C0B48C8
(1667827178.586234) can0 0E2#4E524E52BAF94AFA
(1667827178.629278) can0 162#640F6349C8
(1667827178.673438) can0 1E2#A28C0B48C9
(1667827178.674650) can0 0E2#4E524E52BAF9FEFA
(1667827178.717668) can0 162#640F6349C9
(1667827178.761880) can0 1E2#BB8C0B48CA
(1667827178.763061) can0 0E2#39524E52BAF94AFA
(1667827178.806104) can0 162#640F6349CA
(1667827178.850302) can0 1E2#BB8C0B48CB
(1667827178.851461) can0 0E2#39524E52BAF94AFA
(1667827178.894505) can0 162#720F6349CB
(1667827178.938691) can0 1E2#BB8C0B48CC
(1667827178.939899) can0 0E2#4E524E52BAF9FDFA
(1667827178.982902) can0 162#580F6349CC
(1667827179.027115) can0 1E2#AA8C0B48CD
(1667827179.028293) can0 0E2#4E524E52BAF9FDFA
(1667827179.029354) can0 2E2#634DF44D89455F51
(1667827179.071299) can0 162#490F6349CD
(1667827179.115503) can0 1E2#A28C0B48CE
(1667827179.116667) can0 0E2#4E524E52BAF9FDFA
(1667827179.159687) can0 162#640F6349CE
(1667827179.203898) can0 1E2#AA8C0B48CF
(1667827179.205084) can0 0E2#4E524E52BAF94BFA
(1667827179.248107) can0 162#640F6349CF
(1667827179.292314) can0 1E2#A28C0B48D0
(1667827179.293446) can0 0E2#39524E524CFAFCFA
(1667827179.336523) can0 162#640F6349D0
(1667827179.380719) can0 1E2#AA8C0B48D1
(1667827179.381897) can0 0E2#39524E52BAF94AFA
(1667827179.424919) can0 162#720F6349D1
(1667827179.469119) can0 1E2#B28C0B48D2
(1667827179.470311) can0 0E2#4E524E524CFAFDFA
(1667827179.513295) can0 162#810F6349D2
(1667827179.557547) can0 1E2#AA8C0B48D3
(1667827179.558706) can0 0E2#39524E52BAF94AFA
(1667827179.602277) can0 162#810F6349D3
(1667827179.646499) can0 1E2#BB8C0B48D4
(1667827179.647685) can0 0E2#4E524E52BAF9DCFB
(1667827179.690620) can0 162#8F0F6349D4
